Date,Flight Number,From,To,Class,Price,FLowCard,Bags Checked,Meal Type
4/4/2024,PA012,Tokyo,Perth,Business Class,583.20,Yes,1,Vegetarian
8/28/2024,PA011,Perth,Tokyo,Premium Economy,780.00,Yes,2,Vegan
6/14/2024,PA005,London,Tokyo,Business Class,421.20,Yes,0,None
6/27/2024,PA007,New York,Perth,Economy,2060.00,Yes,1,Nut Free
11/8/2024,PA002,New York,London,Premium Economy,865.00,Yes,3,Vegetarian
10/27/2024,PA002,New York,London,Economy,2780.00,Yes,2,Egg Free
11/24/2024,PA011,Perth,Tokyo,Business Class,415.20,Yes,3,Vegan
3/27/2024,PA003,London,Perth,Business Class,426.00,Yes,0,Egg Free
9/11/2024,PA010,Tokyo,New York,First Class,692.00,Yes,2,Vegetarian
12/23/2024,PA006,Tokyo,London,Premium Economy,1380.00,Yes,1,Egg Free
5/14/2024,PA008,Perth,New York,Economy,2435.00,Yes,0,Vegetarian
7/3/2024,PA012,Tokyo,Perth,Premium Economy,1582.50,Yes,1,Egg Free
3/14/2024,PA008,Perth,New York,Premium Economy,1127.50,Yes,1,None
7/3/2024,PA008,Perth,New York,Premium Economy,1457.50,Yes,1,Egg Free
2/4/2024,PA001,London,New York,Business Class,793.20,Yes,0,None
7/12/2024,PA007,New York,Perth,First Class,346.00,Yes,0,Dairy Free
6/2/2024,PA010,Tokyo,New York,Business Class,649.20,Yes,1,None
9/28/2024,PA003,London,Perth,Premium Economy,937.50,Yes,1,Egg Free
8/9/2024,PA004,Perth,London,Business Class,547.20,Yes,3,Vegetarian
5/28/2024,PA010,Tokyo,New York,Economy,3295.00,Yes,1,Egg Free
3/11/2024,PA011,Perth,Tokyo,First Class,438.00,Yes,3,None
7/26/2024,PA005,London,Tokyo,Premium Economy,510.00,Yes,1,Dairy Free
6/1/2024,PA006,Tokyo,London,Business Class,782.40,Yes,0,Vegetarian
3/28/2024,PA010,Tokyo,New York,Business Class,568.80,Yes,3,Egg Free
12/16/2024,PA006,Tokyo,London,Economy,3150.00,Yes,2,Vegan
11/9/2024,PA010,Tokyo,New York,First Class,613.00,Yes,1,Egg Free
7/7/2024,PA009,New York,Tokyo,Economy,2700.00,Yes,2,Nut Free
10/3/2024,PA005,London,Tokyo,Economy,1150.00,Yes,3,None
1/12/2024,PA010,Tokyo,New York,Business Class,313.20,Yes,3,Vegan
8/30/2024,PA009,New York,Tokyo,Economy,2875.00,Yes,1,Dairy Free
1/23/2024,PA009,New York,Tokyo,First Class,603.00,Yes,1,Egg Free
4/17/2024,PA011,Perth,Tokyo,First Class,362.00,Yes,2,Dairy Free
11/24/2024,PA005,London,Tokyo,First Class,322.00,Yes,3,Vegetarian
11/20/2024,PA011,Perth,Tokyo,First Class,678.00,Yes,1,Egg Free
12/16/2024,PA004,Perth,London,Premium Economy,1410.00,Yes,1,Egg Free
6/15/2024,PA005,London,Tokyo,Economy,1775.00,Yes,1,Egg Free
6/23/2024,PA010,Tokyo,New York,Business Class,291.60,Yes,2,Dairy Free
6/5/2024,PA008,Perth,New York,First Class,316.00,Yes,3,Egg Free
10/24/2024,PA010,Tokyo,New York,Business Class,333.60,Yes,2,Egg Free
2/28/2024,PA009,New York,Tokyo,First Class,403.00,Yes,3,None
6/6/2024,PA001,London,New York,Business Class,570.00,Yes,2,None
9/20/2024,PA010,Tokyo,New York,Premium Economy,1305.00,Yes,0,Egg Free
2/19/2024,PA004,Perth,London,First Class,260.00,Yes,1,Dairy Free
12/10/2024,PA011,Perth,Tokyo,Economy,2830.00,Yes,2,Vegan
11/12/2024,PA009,New York,Tokyo,First Class,344.00,Yes,2,Vegan
9/28/2024,PA009,New York,Tokyo,Economy,3390.00,Yes,2,Dairy Free
10/2/2024,PA001,London,New York,First Class,517.00,Yes,2,Vegan
8/12/2024,PA006,Tokyo,London,Premium Economy,615.00,Yes,3,Vegetarian
10/7/2024,PA008,Perth,New York,First Class,642.00,Yes,3,Vegetarian
4/4/2024,PA005,London,Tokyo,First Class,521.00,Yes,0,Nut Free
7/30/2024,PA003,London,Perth,First Class,612.00,Yes,1,Vegetarian
5/29/2024,PA009,New York,Tokyo,Business Class,294.00,Yes,0,Nut Free
1/4/2024,PA002,New York,London,First Class,684.00,Yes,1,Dairy Free
1/16/2024,PA007,New York,Perth,Business Class,406.80,Yes,3,None
8/9/2024,PA003,London,Perth,Premium Economy,1572.50,Yes,3,Nut Free
7/13/2024,PA010,Tokyo,New York,First Class,403.00,Yes,1,Nut Free
10/13/2024,PA012,Tokyo,Perth,Premium Economy,1352.50,Yes,0,Dairy Free
7/20/2024,PA011,Perth,Tokyo,First Class,606.00,Yes,1,Egg Free
8/27/2024,PA005,London,Tokyo,Economy,3080.00,Yes,2,Vegetarian
3/25/2024,PA002,New York,London,Premium Economy,1342.50,Yes,2,Dairy Free
8/9/2024,PA006,Tokyo,London,Business Class,658.80,Yes,2,Vegan
5/22/2024,PA006,Tokyo,London,Premium Economy,1660.00,Yes,3,Egg Free
1/14/2024,PA012,Tokyo,Perth,First Class,379.00,Yes,0,Egg Free
9/6/2024,PA006,Tokyo,London,Business Class,272.40,Yes,1,Vegan
4/11/2024,PA011,Perth,Tokyo,Economy,1410.00,Yes,0,Nut Free
9/1/2024,PA005,London,Tokyo,Business Class,243.60,Yes,1,None
11/18/2024,PA008,Perth,New York,Premium Economy,1127.50,Yes,1,None
12/31/2024,PA005,London,Tokyo,First Class,247.00,Yes,3,Nut Free
8/3/2024,PA011,Perth,Tokyo,Economy,2695.00,Yes,0,Nut Free
5/31/2024,PA009,New York,Tokyo,First Class,484.00,Yes,1,None
12/19/2024,PA006,Tokyo,London,First Class,216.00,Yes,1,Egg Free
2/7/2024,PA001,London,New York,Business Class,266.40,Yes,0,None
1/24/2024,PA012,Tokyo,Perth,Economy,3370.00,Yes,0,Vegan
1/21/2024,PA012,Tokyo,Perth,Business Class,422.40,Yes,0,Vegetarian
4/18/2024,PA003,London,Perth,First Class,350.00,Yes,1,Egg Free
7/11/2024,PA011,Perth,Tokyo,First Class,237.00,Yes,2,Vegetarian
11/19/2024,PA006,Tokyo,London,Premium Economy,1295.00,Yes,3,None
12/19/2024,PA001,London,New York,Business Class,571.20,Yes,1,Dairy Free
2/3/2024,PA008,Perth,New York,Business Class,421.20,Yes,3,Dairy Free
2/6/2024,PA004,Perth,London,First Class,306.00,Yes,2,Dairy Free
4/10/2024,PA011,Perth,Tokyo,Economy,1695.00,Yes,0,Vegetarian
11/21/2024,PA006,Tokyo,London,Business Class,367.20,Yes,0,None
2/16/2024,PA003,London,Perth,First Class,618.00,Yes,3,Nut Free
12/2/2024,PA001,London,New York,Premium Economy,1037.50,Yes,3,Vegetarian
8/11/2024,PA008,Perth,New York,Business Class,294.00,Yes,3,Vegan
12/11/2024,PA008,Perth,New York,Business Class,834.00,Yes,0,Egg Free
4/9/2024,PA008,Perth,New York,Premium Economy,1307.50,Yes,0,None
3/6/2024,PA006,Tokyo,London,Premium Economy,1220.00,Yes,2,Nut Free
10/25/2024,PA007,New York,Perth,First Class,485.00,Yes,3,Dairy Free
7/11/2024,PA002,New York,London,Economy,3080.00,Yes,2,Nut Free
3/13/2024,PA005,London,Tokyo,First Class,518.00,Yes,1,Dairy Free
1/24/2024,PA011,Perth,Tokyo,Economy,3060.00,Yes,3,Vegan
9/17/2024,PA001,London,New York,Economy,2000.00,Yes,3,Vegan
8/8/2024,PA001,London,New York,First Class,627.00,Yes,1,Nut Free
12/23/2024,PA009,New York,Tokyo,Premium Economy,922.50,Yes,2,Egg Free
5/14/2024,PA001,London,New York,Business Class,583.20,Yes,2,Vegan
2/15/2024,PA008,Perth,New York,Premium Economy,1732.50,Yes,3,Nut Free
10/2/2024,PA010,Tokyo,New York,Premium Economy,927.50,Yes,3,Vegetarian
9/16/2024,PA001,London,New York,Economy,2415.00,Yes,2,None
7/10/2024,PA009,New York,Tokyo,Premium Economy,1142.50,Yes,2,None
8/12/2024,PA003,London,Perth,Economy,2750.00,Yes,1,Dairy Free
3/6/2024,PA012,Tokyo,Perth,Economy,1380.00,Yes,0,Egg Free
1/28/2024,PA004,Perth,London,Economy,2990.00,Yes,3,Nut Free
7/24/2024,PA012,Tokyo,Perth,Premium Economy,1075.00,Yes,0,Vegetarian
1/17/2024,PA010,Tokyo,New York,Premium Economy,1325.00,Yes,0,Nut Free
3/1/2024,PA004,Perth,London,Premium Economy,1447.50,Yes,3,None
9/2/2024,PA006,Tokyo,London,First Class,642.00,Yes,1,Vegetarian
10/23/2024,PA009,New York,Tokyo,Premium Economy,740.00,Yes,0,Egg Free
7/16/2024,PA012,Tokyo,Perth,Economy,1170.00,Yes,2,Dairy Free
4/4/2024,PA009,New York,Tokyo,First Class,691.00,Yes,3,Egg Free
7/31/2024,PA005,London,Tokyo,Business Class,577.20,Yes,3,Nut Free
10/22/2024,PA006,Tokyo,London,Premium Economy,1020.00,Yes,1,Egg Free
8/24/2024,PA004,Perth,London,Economy,2985.00,Yes,2,Vegan
3/23/2024,PA003,London,Perth,Premium Economy,1302.50,Yes,3,Vegetarian
7/20/2024,PA007,New York,Perth,Premium Economy,1677.50,Yes,0,Dairy Free
5/11/2024,PA005,London,Tokyo,Business Class,747.60,Yes,1,Nut Free
11/30/2024,PA004,Perth,London,Premium Economy,1357.50,Yes,2,Nut Free
4/20/2024,PA006,Tokyo,London,Economy,3015.00,Yes,0,Nut Free
2/19/2024,PA008,Perth,New York,Economy,2515.00,Yes,2,Egg Free
4/27/2024,PA007,New York,Perth,First Class,689.00,Yes,0,Vegan
11/10/2024,PA009,New York,Tokyo,Premium Economy,1225.00,Yes,3,Nut Free
3/29/2024,PA009,New York,Tokyo,First Class,500.00,Yes,1,Egg Free
1/17/2024,PA005,London,Tokyo,Premium Economy,942.50,Yes,3,Nut Free
3/17/2024,PA001,London,New York,Economy,2880.00,Yes,0,None
9/2/2024,PA007,New York,Perth,First Class,570.00,Yes,1,Vegan
9/25/2024,PA003,London,Perth,Business Class,762.00,Yes,0,Vegan
7/21/2024,PA002,New York,London,Economy,2340.00,Yes,0,Nut Free
9/7/2024,PA005,London,Tokyo,First Class,388.00,Yes,0,Vegetarian
11/7/2024,PA007,New York,Perth,First Class,345.00,Yes,3,Nut Free
8/2/2024,PA002,New York,London,Premium Economy,1667.50,Yes,3,Vegetarian
8/28/2024,PA001,London,New York,Economy,1925.00,Yes,2,Dairy Free
2/24/2024,PA005,London,Tokyo,First Class,688.00,Yes,3,Egg Free
4/14/2024,PA005,London,Tokyo,Premium Economy,665.00,Yes,1,Nut Free
10/24/2024,PA009,New York,Tokyo,Economy,3235.00,Yes,0,Vegetarian
3/31/2024,PA007,New York,Perth,Premium Economy,935.00,Yes,3,Vegan
6/29/2024,PA002,New York,London,Business Class,452.40,Yes,1,Vegan
1/19/2024,PA005,London,Tokyo,Economy,2525.00,Yes,3,Egg Free
4/4/2024,PA003,London,Perth,Economy,1325.00,Yes,1,Nut Free
8/10/2024,PA008,Perth,New York,First Class,251.00,Yes,1,None
5/5/2024,PA006,Tokyo,London,Economy,1310.00,Yes,0,Vegan
12/2/2024,PA001,London,New York,Premium Economy,1255.00,Yes,2,Dairy Free
7/10/2024,PA011,Perth,Tokyo,Business Class,241.20,Yes,2,Egg Free
9/21/2024,PA007,New York,Perth,Premium Economy,807.50,Yes,0,Nut Free
10/8/2024,PA008,Perth,New York,Business Class,414.00,Yes,0,Vegetarian
10/7/2024,PA008,Perth,New York,Economy,2685.00,Yes,3,Vegan
10/4/2024,PA004,Perth,London,Premium Economy,945.00,Yes,1,Egg Free
10/8/2024,PA003,London,Perth,Business Class,758.40,Yes,1,Egg Free
9/15/2024,PA006,Tokyo,London,Premium Economy,1090.00,Yes,2,Vegan
7/29/2024,PA001,London,New York,Premium Economy,1477.50,Yes,1,Dairy Free
9/27/2024,PA012,Tokyo,Perth,Business Class,657.60,Yes,2,Vegetarian
9/28/2024,PA011,Perth,Tokyo,Business Class,580.80,Yes,2,None
9/23/2024,PA008,Perth,New York,Economy,1205.00,Yes,1,Dairy Free
7/30/2024,PA007,New York,Perth,Premium Economy,1632.50,Yes,2,Dairy Free
3/15/2024,PA004,Perth,London,First Class,449.00,Yes,2,Vegan
4/24/2024,PA011,Perth,Tokyo,Economy,1870.00,Yes,1,Vegetarian
11/14/2024,PA004,Perth,London,Economy,2290.00,Yes,2,Nut Free
7/7/2024,PA002,New York,London,Business Class,530.40,Yes,3,Nut Free
3/2/2024,PA001,London,New York,First Class,323.00,Yes,0,Vegan
5/8/2024,PA006,Tokyo,London,First Class,440.00,Yes,2,None
9/2/2024,PA012,Tokyo,Perth,Premium Economy,570.00,Yes,3,Nut Free
5/19/2024,PA010,Tokyo,New York,First Class,362.00,Yes,2,None
10/19/2024,PA002,New York,London,Premium Economy,1130.00,Yes,0,None
10/3/2024,PA008,Perth,New York,Economy,1140.00,Yes,0,Vegan
6/10/2024,PA004,Perth,London,First Class,478.00,Yes,3,Nut Free
2/2/2024,PA002,New York,London,Economy,1530.00,Yes,0,Nut Free
8/29/2024,PA007,New York,Perth,Economy,1265.00,Yes,3,Nut Free
11/30/2024,PA001,London,New York,First Class,401.00,Yes,3,Nut Free
12/5/2024,PA004,Perth,London,Business Class,609.60,Yes,0,None
11/29/2024,PA009,New York,Tokyo,Economy,2375.00,Yes,0,Vegetarian
10/25/2024,PA010,Tokyo,New York,First Class,466.00,Yes,1,Nut Free
8/28/2024,PA005,London,Tokyo,Premium Economy,1122.50,Yes,2,Dairy Free
6/15/2024,PA001,London,New York,Premium Economy,1005.00,Yes,3,Vegan
12/26/2024,PA008,Perth,New York,First Class,297.00,Yes,3,None
5/17/2024,PA002,New York,London,Premium Economy,1547.50,Yes,2,Dairy Free
7/30/2024,PA004,Perth,London,First Class,552.00,Yes,0,None
11/4/2024,PA008,Perth,New York,Business Class,432.00,Yes,0,Egg Free
10/20/2024,PA006,Tokyo,London,Premium Economy,802.50,Yes,1,None
3/29/2024,PA012,Tokyo,Perth,Business Class,508.80,Yes,2,Dairy Free
7/26/2024,PA002,New York,London,Economy,2885.00,Yes,0,Vegetarian
10/4/2024,PA003,London,Perth,Business Class,711.60,Yes,1,Egg Free
12/1/2024,PA010,Tokyo,New York,Premium Economy,1677.50,Yes,0,Nut Free
3/9/2024,PA012,Tokyo,Perth,Premium Economy,840.00,Yes,0,Nut Free
8/23/2024,PA002,New York,London,Economy,2010.00,Yes,2,Dairy Free
6/25/2024,PA005,London,Tokyo,Premium Economy,1152.50,Yes,2,None
4/16/2024,PA003,London,Perth,Premium Economy,825.00,Yes,3,Dairy Free
6/11/2024,PA005,London,Tokyo,First Class,468.00,Yes,1,Nut Free
8/13/2024,PA007,New York,Perth,Business Class,302.40,Yes,2,None
5/20/2024,PA001,London,New York,Business Class,799.20,Yes,0,Nut Free
1/15/2024,PA009,New York,Tokyo,Business Class,397.20,Yes,3,Dairy Free
5/21/2024,PA001,London,New York,First Class,493.00,Yes,0,Vegan
6/7/2024,PA008,Perth,New York,Economy,2110.00,Yes,0,Egg Free
1/23/2024,PA011,Perth,Tokyo,First Class,635.00,Yes,2,None
7/31/2024,PA002,New York,London,First Class,392.00,Yes,0,None
9/5/2024,PA006,Tokyo,London,Economy,3345.00,Yes,3,None
1/21/2024,PA009,New York,Tokyo,Business Class,352.80,Yes,0,Egg Free
4/15/2024,PA011,Perth,Tokyo,First Class,334.00,Yes,1,None
10/1/2024,PA012,Tokyo,Perth,First Class,382.00,Yes,1,None
1/17/2024,PA002,New York,London,Business Class,672.00,Yes,2,Vegan
3/22/2024,PA011,Perth,Tokyo,First Class,563.00,Yes,0,Nut Free
2/23/2024,PA012,Tokyo,Perth,Business Class,472.80,Yes,0,Dairy Free
12/9/2024,PA011,Perth,Tokyo,Economy,3460.00,Yes,0,Vegan
5/19/2024,PA009,New York,Tokyo,Business Class,685.20,Yes,3,Egg Free
2/12/2024,PA005,London,Tokyo,Premium Economy,1157.50,Yes,0,Vegan
4/25/2024,PA001,London,New York,First Class,295.00,Yes,3,None
10/8/2024,PA003,London,Perth,Business Class,655.20,Yes,1,Egg Free
2/12/2024,PA011,Perth,Tokyo,First Class,207.00,Yes,3,Vegetarian
6/26/2024,PA008,Perth,New York,Premium Economy,1592.50,Yes,0,Vegan
11/9/2024,PA012,Tokyo,Perth,First Class,275.00,Yes,2,Vegetarian
5/22/2024,PA006,Tokyo,London,Business Class,660.00,Yes,1,Vegan
8/5/2024,PA007,New York,Perth,Business Class,481.20,Yes,3,Egg Free
5/10/2024,PA011,Perth,Tokyo,Premium Economy,1277.50,Yes,2,Egg Free
2/11/2024,PA012,Tokyo,Perth,Business Class,595.20,Yes,1,None
7/25/2024,PA004,Perth,London,Business Class,822.00,Yes,1,Nut Free
12/25/2024,PA004,Perth,London,Business Class,303.60,Yes,2,Vegan
6/27/2024,PA012,Tokyo,Perth,Business Class,835.20,Yes,2,Dairy Free
8/9/2024,PA008,Perth,New York,First Class,665.00,Yes,3,None
4/15/2024,PA006,Tokyo,London,First Class,678.00,Yes,1,Egg Free
10/5/2024,PA012,Tokyo,Perth,Business Class,252.00,Yes,1,None
6/12/2024,PA007,New York,Perth,Business Class,721.20,Yes,3,Vegetarian
10/23/2024,PA002,New York,London,Business Class,276.00,Yes,2,Nut Free
6/5/2024,PA005,London,Tokyo,First Class,539.00,Yes,0,Dairy Free
5/1/2024,PA010,Tokyo,New York,Economy,1250.00,Yes,0,Vegan
10/18/2024,PA001,London,New York,Business Class,331.20,Yes,1,None
9/10/2024,PA012,Tokyo,Perth,Business Class,823.20,Yes,0,Vegan
8/9/2024,PA007,New York,Perth,Business Class,241.20,Yes,3,Dairy Free
8/27/2024,PA002,New York,London,Business Class,470.40,Yes,1,Nut Free
2/15/2024,PA011,Perth,Tokyo,First Class,371.00,Yes,0,Nut Free
11/21/2024,PA003,London,Perth,First Class,469.00,Yes,1,Vegetarian
2/2/2024,PA001,London,New York,Business Class,358.80,Yes,0,Vegan
12/13/2024,PA008,Perth,New York,First Class,208.00,Yes,2,Nut Free
7/2/2024,PA003,London,Perth,First Class,357.00,Yes,0,Dairy Free
11/2/2024,PA007,New York,Perth,Premium Economy,885.00,Yes,2,Nut Free
9/29/2024,PA002,New York,London,Business Class,260.40,Yes,0,Vegetarian
7/24/2024,PA009,New York,Tokyo,Economy,2040.00,Yes,2,Dairy Free
8/16/2024,PA008,Perth,New York,Premium Economy,765.00,Yes,1,Nut Free
8/21/2024,PA010,Tokyo,New York,Economy,1225.00,Yes,2,Nut Free
3/18/2024,PA002,New York,London,Premium Economy,1617.50,Yes,3,Vegetarian
12/20/2024,PA001,London,New York,First Class,473.00,Yes,1,None
2/3/2024,PA005,London,Tokyo,Business Class,330.00,Yes,3,Vegan
8/17/2024,PA001,London,New York,Premium Economy,522.50,Yes,1,Vegan
8/25/2024,PA002,New York,London,First Class,370.00,Yes,1,None
9/18/2024,PA011,Perth,Tokyo,Business Class,694.80,Yes,0,Dairy Free
2/16/2024,PA010,Tokyo,New York,First Class,340.00,Yes,1,None
5/1/2024,PA005,London,Tokyo,Economy,1810.00,Yes,0,Dairy Free
9/8/2024,PA006,Tokyo,London,Economy,1865.00,Yes,1,Dairy Free
7/10/2024,PA010,Tokyo,New York,Economy,2920.00,Yes,3,Vegan
3/29/2024,PA007,New York,Perth,First Class,698.00,Yes,3,Vegan
2/7/2024,PA004,Perth,London,Premium Economy,1045.00,Yes,0,Egg Free
3/11/2024,PA010,Tokyo,New York,First Class,561.00,Yes,0,None
11/28/2024,PA004,Perth,London,Economy,1220.00,Yes,3,Egg Free
6/12/2024,PA001,London,New York,Business Class,328.80,Yes,1,Egg Free
2/28/2024,PA003,London,Perth,First Class,660.00,Yes,1,Vegan
11/12/2024,PA006,Tokyo,London,Business Class,546.00,Yes,1,Vegan
5/28/2024,PA007,New York,Perth,First Class,622.00,Yes,0,Egg Free
4/13/2024,PA010,Tokyo,New York,First Class,283.00,Yes,3,Dairy Free
5/6/2024,PA004,Perth,London,Economy,1905.00,Yes,0,Nut Free
11/11/2024,PA011,Perth,Tokyo,Premium Economy,1080.00,Yes,2,Vegetarian
10/21/2024,PA008,Perth,New York,Premium Economy,1212.50,Yes,2,Nut Free
12/2/2024,PA004,Perth,London,Economy,2870.00,Yes,2,Vegetarian
11/15/2024,PA001,London,New York,Premium Economy,1590.00,Yes,3,Vegetarian
10/25/2024,PA006,Tokyo,London,Business Class,726.00,Yes,1,Dairy Free
1/17/2024,PA010,Tokyo,New York,Premium Economy,1417.50,Yes,1,Vegan
4/14/2024,PA011,Perth,Tokyo,Business Class,249.60,Yes,1,Nut Free
8/26/2024,PA007,New York,Perth,Business Class,342.00,Yes,3,Dairy Free
11/5/2024,PA009,New York,Tokyo,Economy,2825.00,Yes,3,Vegetarian
4/27/2024,PA001,London,New York,First Class,633.00,Yes,0,Egg Free
3/10/2024,PA010,Tokyo,New York,Premium Economy,1480.00,Yes,2,None
6/28/2024,PA002,New York,London,Economy,1890.00,Yes,1,Vegetarian
5/1/2024,PA002,New York,London,Business Class,697.20,Yes,1,Dairy Free
4/5/2024,PA003,London,Perth,First Class,315.00,Yes,3,Egg Free
11/10/2024,PA008,Perth,New York,First Class,554.00,Yes,1,Egg Free
12/2/2024,PA001,London,New York,First Class,543.00,Yes,2,Vegetarian
5/9/2024,PA003,London,Perth,Business Class,796.80,Yes,0,None
8/4/2024,PA008,Perth,New York,Economy,1740.00,Yes,1,Dairy Free
7/2/2024,PA009,New York,Tokyo,Business Class,694.80,Yes,2,Dairy Free
6/27/2024,PA007,New York,Perth,Premium Economy,720.00,Yes,2,Vegan
3/21/2024,PA005,London,Tokyo,Economy,1370.00,Yes,0,Vegan
4/14/2024,PA004,Perth,London,Business Class,362.40,Yes,0,Dairy Free
2/13/2024,PA010,Tokyo,New York,Premium Economy,1647.50,Yes,0,Dairy Free
6/28/2024,PA001,London,New York,Business Class,550.80,Yes,2,Vegetarian
5/26/2024,PA006,Tokyo,London,First Class,349.00,Yes,1,Nut Free
10/22/2024,PA007,New York,Perth,First Class,458.00,Yes,0,None
10/1/2024,PA006,Tokyo,London,Business Class,343.20,Yes,2,Vegetarian
11/6/2024,PA006,Tokyo,London,Premium Economy,1207.50,Yes,0,None
2/22/2024,PA008,Perth,New York,First Class,254.00,Yes,3,Dairy Free
5/24/2024,PA009,New York,Tokyo,Business Class,514.80,Yes,3,Egg Free
4/30/2024,PA012,Tokyo,Perth,Premium Economy,1452.50,Yes,0,Vegetarian
2/1/2024,PA011,Perth,Tokyo,Economy,2425.00,Yes,2,Nut Free
7/25/2024,PA009,New York,Tokyo,Premium Economy,750.00,Yes,0,Vegetarian
11/1/2024,PA012,Tokyo,Perth,First Class,608.00,Yes,1,None
11/25/2024,PA010,Tokyo,New York,Economy,2930.00,Yes,2,Egg Free
11/8/2024,PA009,New York,Tokyo,First Class,431.00,Yes,3,Vegan
2/7/2024,PA001,London,New York,Business Class,249.60,Yes,0,None
11/15/2024,PA005,London,Tokyo,First Class,424.00,Yes,1,Nut Free
11/5/2024,PA003,London,Perth,First Class,660.00,Yes,0,Vegan
12/29/2024,PA010,Tokyo,New York,Business Class,603.60,Yes,3,Egg Free
2/11/2024,PA007,New York,Perth,Business Class,824.40,Yes,3,Dairy Free
12/7/2024,PA009,New York,Tokyo,Economy,1615.00,Yes,1,Vegetarian
10/29/2024,PA007,New York,Perth,First Class,477.00,Yes,1,Dairy Free
8/22/2024,PA003,London,Perth,Economy,2360.00,Yes,2,Vegetarian
1/31/2024,PA004,Perth,London,First Class,289.00,Yes,2,Nut Free
6/11/2024,PA001,London,New York,Premium Economy,1340.00,Yes,2,Nut Free
1/5/2024,PA012,Tokyo,Perth,Business Class,336.00,Yes,3,Vegetarian
6/30/2024,PA006,Tokyo,London,Business Class,685.20,Yes,3,Dairy Free
7/11/2024,PA002,New York,London,Premium Economy,777.50,Yes,3,Vegan
7/29/2024,PA001,London,New York,First Class,384.00,Yes,0,Vegan
8/13/2024,PA010,Tokyo,New York,Business Class,289.20,Yes,1,Vegetarian
7/29/2024,PA012,Tokyo,Perth,First Class,554.00,Yes,2,Nut Free
7/5/2024,PA010,Tokyo,New York,Premium Economy,670.00,Yes,0,Egg Free
2/1/2024,PA011,Perth,Tokyo,First Class,623.00,Yes,2,None
10/16/2024,PA006,Tokyo,London,Premium Economy,1255.00,Yes,3,Nut Free
9/12/2024,PA002,New York,London,Premium Economy,1407.50,Yes,0,Vegetarian
1/25/2024,PA001,London,New York,Business Class,565.20,Yes,1,Nut Free
9/7/2024,PA008,Perth,New York,Business Class,698.40,Yes,3,Egg Free
12/13/2024,PA012,Tokyo,Perth,Premium Economy,1092.50,Yes,2,None
2/22/2024,PA002,New York,London,Premium Economy,1027.50,Yes,2,None
2/15/2024,PA005,London,Tokyo,Economy,1800.00,Yes,0,None
6/22/2024,PA011,Perth,Tokyo,Economy,2725.00,Yes,2,Nut Free
3/17/2024,PA005,London,Tokyo,Economy,2350.00,Yes,2,Nut Free
3/4/2024,PA008,Perth,New York,Premium Economy,1215.00,Yes,0,None
12/15/2024,PA006,Tokyo,London,Premium Economy,1140.00,Yes,2,Dairy Free
1/2/2024,PA010,Tokyo,New York,Business Class,507.60,Yes,2,Egg Free
11/13/2024,PA011,Perth,Tokyo,First Class,353.00,Yes,2,Vegetarian
7/13/2024,PA006,Tokyo,London,Economy,3375.00,Yes,2,Nut Free
9/12/2024,PA004,Perth,London,Economy,1645.00,Yes,0,Vegetarian
2/27/2024,PA002,New York,London,First Class,325.00,Yes,0,Vegan
8/4/2024,PA007,New York,Perth,Economy,2390.00,Yes,0,None
9/5/2024,PA001,London,New York,Premium Economy,1202.50,Yes,0,Egg Free
8/13/2024,PA007,New York,Perth,Premium Economy,815.00,Yes,0,Nut Free
6/4/2024,PA009,New York,Tokyo,Premium Economy,1525.00,Yes,2,None
12/18/2024,PA012,Tokyo,Perth,Economy,2565.00,Yes,3,Nut Free
5/14/2024,PA002,New York,London,Business Class,667.20,Yes,2,Vegan
7/29/2024,PA003,London,Perth,Premium Economy,615.00,Yes,1,Nut Free
6/3/2024,PA007,New York,Perth,First Class,636.00,Yes,1,Egg Free
2/9/2024,PA005,London,Tokyo,First Class,519.00,Yes,2,Vegetarian
3/10/2024,PA008,Perth,New York,Premium Economy,1737.50,Yes,1,Vegetarian
11/27/2024,PA011,Perth,Tokyo,First Class,509.00,Yes,1,Vegetarian
6/26/2024,PA002,New York,London,First Class,335.00,Yes,0,Vegan
10/7/2024,PA002,New York,London,First Class,684.00,Yes,2,Nut Free
10/29/2024,PA003,London,Perth,Economy,2720.00,Yes,3,None
10/12/2024,PA009,New York,Tokyo,Business Class,478.80,Yes,1,Egg Free
9/19/2024,PA007,New York,Perth,First Class,231.00,Yes,2,Nut Free
7/20/2024,PA010,Tokyo,New York,Business Class,370.80,Yes,3,Egg Free
9/21/2024,PA004,Perth,London,Business Class,733.20,Yes,3,Egg Free
7/2/2024,PA002,New York,London,Premium Economy,1142.50,Yes,1,Dairy Free
2/17/2024,PA007,New York,Perth,First Class,245.00,Yes,3,Vegetarian
8/22/2024,PA009,New York,Tokyo,Premium Economy,1090.00,Yes,1,Nut Free
12/3/2024,PA004,Perth,London,Premium Economy,1695.00,Yes,3,Nut Free
12/12/2024,PA009,New York,Tokyo,Economy,1495.00,Yes,0,Nut Free
3/13/2024,PA004,Perth,London,Business Class,835.20,Yes,0,Dairy Free
9/5/2024,PA012,Tokyo,Perth,Business Class,675.60,Yes,0,Egg Free
8/2/2024,PA002,New York,London,Premium Economy,1060.00,Yes,2,Vegan
12/10/2024,PA010,Tokyo,New York,Economy,1235.00,Yes,0,Vegan
10/20/2024,PA005,London,Tokyo,Economy,3175.00,Yes,0,Vegetarian
